month_year,year,article_count
1980-06,1980,6700
1980-07,1980,6141
1980-08,1980,6618
1980-09,1980,6751
1980-10,1980,7229
1980-11,1980,7161
1980-12,1980,6962
1981-01,1981,7792
1981-02,1981,6580
1981-03,1981,7687
1981-04,1981,7695
1981-05,1981,8682
1981-06,1981,8164
1981-07,1981,7552
1981-08,1981,7757
1981-09,1981,7312
1981-10,1981,9167
1981-11,1981,8736
1981-12,1981,8007
1982-01,1982,8893
1982-02,1982,8186
1982-03,1982,7738
1982-04,1982,8440
1982-05,1982,7896
1982-06,1982,7587
1982-07,1982,8170
1982-08,1982,8691
1982-09,1982,7738
1982-10,1982,9763
1982-11,1982,8755
1982-12,1982,7984
1983-01,1983,8203
1983-02,1983,8078
1983-03,1983,8667
1983-04,1983,9876
1983-05,1983,9240
1983-06,1983,7776
1983-07,1983,9426
1983-08,1983,8750
1983-09,1983,7815
1983-10,1983,9937
1983-11,1983,9338
1983-12,1983,8144
1984-01,1984,9079
1984-02,1984,9143
1984-03,1984,8929
1984-04,1984,10118
1984-05,1984,9904
1984-06,1984,8234
1984-07,1984,9906
1984-08,1984,9656
1984-09,1984,8414
1984-10,1984,10166
1984-11,1984,9427
1984-12,1984,8383
1985-01,1985,8706
1985-02,1985,8270
1985-03,1985,8878
1985-04,1985,9045
1985-05,1985,9450
1985-06,1985,8268
1985-07,1985,8712
1985-08,1985,9046
1985-09,1985,8530
1985-10,1985,9889
1985-11,1985,9211
1985-12,1985,8524
1986-01,1986,9120
1986-02,1986,8772
1986-03,1986,9056
1986-04,1986,9951
1986-05,1986,9808
1986-06,1986,8523
1986-07,1986,9077
1986-08,1986,9559
1986-09,1986,8474
1986-10,1986,10217
1986-11,1986,9770
1986-12,1986,8416
1987-01,1987,9138
1987-02,1987,8647
1987-03,1987,8937
1987-04,1987,9554
1987-05,1987,9968
1987-06,1987,8047
1987-07,1987,8555
1987-08,1987,9150
1987-09,1987,8345
1987-10,1987,9486
1987-11,1987,10031
1987-12,1987,8353
1988-01,1988,8962
1988-02,1988,8811
1988-03,1988,8895
1988-04,1988,8507
1988-05,1988,9760
1988-06,1988,7990
1988-07,1988,8923
1988-08,1988,9106
1988-09,1988,8366
1988-10,1988,9679
1988-11,1988,9555
1988-12,1988,7935
1989-01,1989,8784
1989-02,1989,8279
1989-03,1989,8989
1989-04,1989,9732
1989-05,1989,9307
1989-06,1989,7834
1989-07,1989,8591
1989-08,1989,8732
1989-09,1989,7504
1989-10,1989,9415
1989-11,1989,9192
1989-12,1989,8172
1990-01,1990,8879
1990-02,1990,8468
1990-03,1990,8856
1990-04,1990,9694
1990-05,1990,8963
1990-06,1990,7071
1990-07,1990,8219
1990-08,1990,7987
1990-09,1990,7405
1990-10,1990,8687
1990-11,1990,7782
1990-12,1990,6894
1991-01,1991,6866
1991-02,1991,7323
1991-03,1991,7312
1991-04,1991,8005
1991-05,1991,7274
1991-06,1991,7439
1991-07,1991,7506
1991-08,1991,6297
1991-09,1991,7213
1991-10,1991,6536
1991-11,1991,6739
1991-12,1991,7078
1992-01,1992,7618
1992-02,1992,6032
1992-03,1992,7753
1992-04,1992,7182
1992-05,1992,8082
1992-06,1992,7123
1992-07,1992,7235
1992-08,1992,7341
1992-09,1992,6529
1992-10,1992,7289
1992-11,1992,7240
1992-12,1992,6614
1993-01,1993,7340
1993-02,1993,6575
1993-03,1993,6062
1993-04,1993,6748
1993-05,1993,7153
1993-06,1993,6530
1993-07,1993,6805
1993-08,1993,7115
1993-09,1993,6056
1993-10,1993,8068
1993-11,1993,7182
1993-12,1993,6386
1994-01,1994,6856
1994-02,1994,5934
1994-03,1994,6512
1994-04,1994,6642
1994-05,1994,7177
1994-06,1994,6249
1994-07,1994,6925
1994-08,1994,6662
1994-09,1994,6149
1994-10,1994,7352
1994-11,1994,6892
1994-12,1994,6106
1995-01,1995,7038
1995-02,1995,5695
1995-03,1995,6695
1995-04,1995,7527
1995-05,1995,7062
1995-06,1995,6581
1995-07,1995,7556
1995-08,1995,7061
1995-09,1995,6351
1995-10,1995,9715
1995-11,1995,6803
1995-12,1995,7151
1996-01,1996,6829
1996-02,1996,6605
1996-03,1996,7178
1996-04,1996,6705
1996-05,1996,6902
1996-06,1996,7034
1996-07,1996,6992
1996-08,1996,6010
1996-09,1996,6387
1996-10,1996,6675
1996-11,1996,6214
1996-12,1996,6258
1997-01,1997,7282
1997-02,1997,6967
1997-03,1997,7647
1997-04,1997,7386
1997-05,1997,7398
1997-06,1997,7427
1997-07,1997,7120
1997-08,1997,7296
1997-09,1997,7580
1997-10,1997,8280
1997-11,1997,7893
1997-12,1997,7742
1998-01,1998,7825
1998-02,1998,7147
1998-03,1998,8137
