year,total_article_count
1980,47562
1981,95131
1982,99841
1983,105250
1984,111359
1985,106529
1986,110743
1987,108211
1988,106489
1989,104531
1990,98905
1991,85588
1992,86038
1993,82020
1994,79456
1995,85235
1996,79789
1997,90018
1998,94244
1999,96261
2000,102800
2001,111312
2002,110050
2003,108072
2004,107947
2005,121485
2006,163480
2007,100963
2008,118895
2009,146939
2010,112448
2011,102969
2012,101255
2013,88984
2014,85951
2015,80252
2016,69489
2017,60424
2018,58849
2019,53258
2020,55493
2021,54529
2022,48707
2023,46043
2024,48696
