"year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50"
1980,0.00546644111742795,0.000447912116000802,0.00500966029042497,0.0112827648831005,0.0301837379742884,0.00875059144848713,0.00517205028267671,0.0115277806947554,0.067789364829835,0.00618275841096288,0.0210045102834341,0.0633940454391844,0.00344727176789495,0.0743832774784085,0.00258057318895768,0.00570352555716508,0.00223533702180243,0.0111515855075508,0.00518079310819252,0.012261787607571,0.0265040340343969,0.0552539117532766,0.07273992845619,0.00650933346956519,0.050698631791891,0.0153138294765983,0.015993972650534,0.00936361236838828,0.0161455225212877,0.0775327683891945,0.00086566374935438,0.00171826732291339,0.000378365204218101,0.00656882208774403,0.0121433049058272,0.000200800976251913,0.0109335294571659,0.00494414678983226,0.0194507212786055,0.0181924161649445,0.0256638503088504,4.1946108611102e-05,0.00500717980628807,0.0702870093288725,0.00639354860991358,0.0331240076212064,0.00646516522384024,0.00775847384544924,0.00322188100449805,0.0674295862861692
1981,0.00750025529088336,0.000460297651653383,0.0136027446018976,0.0254741540862739,0.119880389830643,0.00898416510198535,0.00877716465592371,0.00866081611296717,0.0855257304148747,0.00506081654443871,0.00932166526888281,0.0882342617640009,0.00238170445859595,0.0377370397322725,0.00322315463676145,0.0083085171583828,0.00554859421393207,0.0154214556960497,0.00372273386788016,0.00863595355888978,0.0204230756393141,0.0384509565505134,0.0199969182212366,0.00878327370890814,0.0347398549203983,0.0110758526725327,0.00616564637332706,0.0133780692989911,0.0202328065940404,0.0713178663745502,0.00428610191296444,0.00340010791000017,0.000378627143789502,0.0102763342344187,0.0130207904009406,0.000397035291134397,0.0154676124873614,0.00537800837452426,0.00979690385603534,0.0237580150588497,0.0101557551322349,8.35426993154711e-05,0.00249916131453275,0.0865236721824569,0.0152600134845008,0.0234136917421047,0.001071428807703,0.00504753449734929,0.00434781351224894,0.0544119149565338
1982,0.00904744281236343,0.000509996898206874,0.0451828869410877,0.02077199952697,0.0226134390989814,0.00793743716695572,0.00984945696226385,0.0147781860292509,0.0479894036844409,0.00288682901407723,0.0147012019612453,0.0622134480490146,0.00289156644205166,0.0481828719613127,0.00317009721692797,0.00649165361469936,0.00229111855253334,0.0163819744353471,0.00474546280283888,0.00922917846376987,0.0218476172348313,0.0376888141814472,0.0140628345730339,0.0129939914849773,0.0572379985776934,0.0298940866865534,0.00818916064283414,0.00925407865175361,0.0287757325261206,0.0457773382510583,0.00216884867933534,0.00281484036533306,0.000140940472216307,0.00806367582291501,0.0238338161674616,0.000371796461787433,0.0163476400125221,0.00475438321889545,0.0148095895288883,0.0205848881431671,0.012213934769442,0.000123804069712622,0.00150912731106413,0.120159170163266,0.0210567869166412,0.078729711417245,0.00083443751607815,0.0130825539050831,0.00661528663312164,0.0341974639811828
1983,0.00829686734549396,0.000689839614476256,0.11644161369551,0.0279439469504239,0.02002487452818,0.0105844807128636,0.00235052038447638,0.0110267784043224,0.075270602239866,0.00257751123431121,0.00318196219602823,0.0671756778151546,0.00274052108306355,0.0355967166171008,0.00590610346153385,0.00350120373997035,0.00598824430402325,0.00604424253635603,0.00584896883560017,0.00620834794185735,0.0221585306886939,0.0330536080670915,0.0184560465759877,0.0279695640982315,0.0352868784656624,0.00852647585311921,0.00455103575631203,0.0167411452096986,0.0301512123377307,0.0179286757527544,0.00282079922662385,0.00224978258787426,0.000140480648267379,0.009200780492023,0.0595116788094142,0.000591350414645514,0.0100497390268858,0.0045179259689449,0.017414140117957,0.0142693899938143,0.0175010144848282,0.000194006966953883,0.00170158672188119,0.0649524242845091,0.0135544083308072,0.0599671854815048,0.00240130897166266,0.00565297462986277,0.00676515686401317,0.0743216695316324
1984,0.00548979663400793,0.000490860686640133,0.0548234008603915,0.00478938835986528,0.0148530668827465,0.0103488784750703,0.0125313900823209,0.0499445810691675,0.179973055991404,0.00309954931794463,0.00796401495135976,0.026860894231604,0.00175893446461663,0.0371977223618877,0.00513392431690886,0.0015648928558512,0.00468441946050528,0.0074398782378889,0.0110855866075205,0.00429383999719759,0.0188439335755003,0.0328437504928982,0.0109168282205238,0.00490501301098266,0.0169095776147123,0.00797292969816244,0.00319267400630378,0.00647262896709009,0.0203507540349691,0.0426189705711859,0.0073935464679024,0.00720382872202606,0.000337881920691531,0.00684578256273251,0.109021646878931,0.00349769918860415,0.00519970474883479,0.00945115730297135,0.00852016898826953,0.0200258514965839,0.0221418560022359,0.000266790518058282,0.00280594993463367,0.0699944294196494,0.00834229783364514,0.0546336417369045,0.000879962154343034,0.0141030649829066,0.00436813298121224,0.0356114701216359
1985,0.00687813008252202,0.0006160699109292,0.0643101566128805,0.013926161422131,0.0217742324915788,0.0104225203636181,0.00430251773619691,0.0832535564244818,0.112985978686997,0.00425031778150305,0.00196010239830789,0.0194987257672886,0.00211310556847179,0.0264497777285059,0.00166118452916526,0.00765161709486041,0.00245269038851517,0.00549412362724686,0.00617705901046555,0.00583300523964943,0.0137314313199025,0.0582039700592792,0.00940559990998166,0.0152412490392178,0.0176448606015705,0.0242132205143018,0.00638161043848872,0.0112055960462668,0.0220680788567102,0.0107526799640029,0.00767506187935949,0.00388315127206906,0.000301629603938346,0.00941519284554062,0.219938083664077,0.00146177311308994,0.0080163684321767,0.00486798313527207,0.014907095445394,0.010903183575291,0.0050613342733116,0.0027452766863584,0.00223920101676165,0.0186603329035358,0.0112829427086114,0.0371990189433602,0.00179964081221639,0.00462789969785289,0.00733314934668757,0.0368223510300592
1986,0.00372687143467658,0.000599305320416958,0.00446187633907105,0.0207117651566803,0.039162051834499,0.00608797690855642,0.0197293758152328,0.050420877711921,0.0909106944875235,0.00254684965925389,0.017603999598462,0.118631514436583,0.00175143902956694,0.0399864629797817,0.00561220880767515,0.00404698415961852,0.00211230785010228,0.0088809017533703,0.000919687724798112,0.0038358610606487,0.0165066612852298,0.054810476982939,0.0239726936959804,0.025671508258175,0.0279848944418597,0.010386020008305,0.0120260233163671,0.00658647513955299,0.0203021540970599,0.0284464842007764,0.00833041249689818,0.002087842823028,0.000498118357683865,0.011190625400073,0.0187733596553688,0.00132740221523728,0.0222870248684212,0.00314189679847297,0.012475758234466,0.0155052247578596,0.0112908176137909,0.00861956576292976,0.00434273737756751,0.105814709926342,0.0165895586020518,0.0283048093794001,0.000544155610291267,0.00990357566785683,0.00755933780260466,0.0429806631549735
1987,0.00547643782544972,0.000461377674049206,0.0230934319627979,0.013762714868525,0.0184913850621285,0.0169751340793711,0.00959740368794412,0.15740786986088,0.0982146195600734,0.00156313446205566,0.00524440766583964,0.0152960380041714,0.00229198121715049,0.0374195644515457,0.00151528374503723,0.0114498017941972,0.00429845305818803,0.016907188444455,0.00493974155671617,0.0016567287923238,0.0116094675352505,0.0305906910294062,0.0341797654356417,0.0407994581390448,0.0193265297897801,0.0121917036795006,0.0197289634903085,0.0105869906506281,0.0337037351840491,0.0562745584516565,0.00584113880528028,0.0119441639238431,0.000526637554695609,0.0137935239550857,0.0454949453353391,0.0123523744374319,0.0126894144920227,0.00183360844713719,0.00809580942312331,0.00991058616386861,0.00829592850849472,0.00116234715985813,0.00651193162421797,0.0672592637230536,0.0125315980321673,0.0267014464907546,0.00138054463633708,0.00628038188858964,0.0175430367224667,0.0147967575180673
1988,0.00468379224833425,0.000434062686535303,0.0710036617565066,0.0049418764558437,0.0116193806865896,0.0495028574163088,0.00126874103330199,0.0276897809904118,0.107169303351624,0.000754571062518855,0.0049292406966271,0.0167422314692686,0.00251425229855598,0.0213757059693308,0.00226859562129829,0.0119831353805754,0.0086573172560006,0.002845533392587,0.00358908304332752,0.00468365512806812,0.0118774982937717,0.0549529665250462,0.00806338003512739,0.0292612276384556,0.0115562522625468,0.0184048008655245,0.00572328358103279,0.0191135508544207,0.0330595731143371,0.0385909368255359,0.0106492843097602,0.00371865592085209,0.000296735341591343,0.00528937508279684,0.237746647657586,0.00276752187300825,0.00719283539192924,0.00389295771282385,0.0080092010978234,0.00925521912635965,0.0110359188702689,0.00185099310014259,0.00433487937690404,0.0358119901635051,0.0159823996090064,0.0218815016690458,0.0079210017484595,0.0033058189533828,0.0100419099336257,0.00975490512171534
1989,0.00553960879068039,0.000463216679493149,0.0224568221842389,0.014965413799411,0.0212401088810174,0.103921262714683,0.0109488239628058,0.0613213686512951,0.121431578240826,0.00575252106426102,0.0100498954888587,0.0497531120725199,0.00211178871512088,0.0372923830016201,0.00422188037790514,0.0121150711681691,0.00705086993782406,0.00418820045017536,0.00884449130680321,0.00494113548752198,0.0195153072062978,0.0357969516380028,0.00402366169536579,0.0189808031468001,0.015049621494951,0.0200530440365147,0.0112964172040683,0.0183881312285727,0.0320479331485341,0.0164838922083773,0.012275702524513,0.00457054379263943,0.000649499285539274,0.015957997319742,0.0334731577874031,0.0108419904784041,0.0283668766783549,0.00405966614397112,0.00850022777791958,0.0224961987768531,0.00976549553730833,0.00611585298224246,0.00737860517721289,0.0315391434641185,0.0254162037201463,0.0269051335828129,0.00905319659324485,0.00778936894523454,0.00894897990439161,0.0256508435452325
