"year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55"
1980,0.00466556376204379,0.000420962420606133,0.00765272719080491,0.0584749697222907,0.0289761421210067,0.00981256625858135,0.00547308924949584,0.0102073570617748,0.0619119262828212,0.00533413521870593,0.0233872916267119,0.061398405255791,0.00252260108632939,0.0635955743257326,0.00161965119321753,0.001609519637086,0.0021147453807033,0.0133740223639092,0.0009287638573306,0.0140745488042859,0.0216776226242015,0.0501065429087362,0.0654674714434638,0.00576299118157189,0.0529289773607973,0.00768061645787684,0.0129916862710822,0.00886587604624706,0.0181003246064847,0.076381529208358,0.0010702017364356,0.00151752417565581,0.000875432620101966,0.00365843445426071,0.0106330788647362,0.00233723921526263,0.00840430619418663,0.0035257899189092,0.0175315193846184,0.0139561723550621,0.0228821521312312,0.00012055593648775,0.00581581662273811,0.0218315756939069,0.00945126410585837,0.0267044512657567,0.00632229182775819,0.00667584057042994,0.005398024175449,0.0626751516529281,0.0459575013842996,0.0012776980317082,0.00896364562711672,0.0134610761621119,0.00143505496494205
1981,0.0056808524114976,0.000371878277548147,0.0147623651584625,0.073887375129341,0.110378733055434,0.0113748583614354,0.00874431416913943,0.00840670688478567,0.0777007529176637,0.0049091251024266,0.013050364013015,0.0845154577974331,0.00197635187619386,0.0321537455630789,0.00154670569119198,0.00850197564229439,0.00569443604854317,0.0184164021282196,0.00196923084418171,0.00824738714071935,0.0153750443197384,0.0330098911459144,0.0151230735413853,0.00497999117574174,0.0362791802139745,0.00328479252345211,0.00459174103028652,0.0123154432642895,0.0205584741092375,0.067222530853806,0.00504319375318562,0.00576545796059152,0.000622422523842863,0.00862033410129152,0.0118899074863275,0.00246979876495439,0.0133244428706597,0.00405353880480362,0.00998616179365089,0.0196110732424511,0.00911251321328379,0.00023166588402085,0.00284514680400708,0.0225909200152225,0.0195388289430377,0.0206579559840652,0.00116904908316877,0.00419364670845712,0.00412699234311093,0.0625937888304255,0.046362453275226,0.00500709684351968,0.00575127410930419,0.0078941224134492,0.001509033857512
1982,0.0059605192473322,0.000388914850717351,0.0436757750146687,0.0833416388789066,0.02031032688434,0.00759402350150109,0.0085699712483253,0.0137415939616322,0.0419978646717445,0.00252131570314334,0.0315539110235932,0.0586771089744597,0.0024494231863129,0.0388558381268587,0.00148028079588544,0.00626839880547414,0.00200776761848589,0.0175042391068894,0.000516634963800982,0.00951203598149552,0.0183971333027857,0.031792122522316,0.0118383643846205,0.00513880301270153,0.0587559118769293,0.0127590102323199,0.00496760652014265,0.00911671568063976,0.0286369532257904,0.0474534274683155,0.00220037127871975,0.00378133806605998,0.000220890729649185,0.00709656377749251,0.0218828396750033,0.0019539699237951,0.0140963907026688,0.00278280507956511,0.0134485141149717,0.0170342033917476,0.0112222315323609,0.000257164414760242,0.00137277552947329,0.0509248246068506,0.0249640384637065,0.045361796962488,0.000830314916185756,0.011432347382821,0.00680473689096893,0.0410632251146879,0.0652673463415802,0.0178947003195167,0.00420048676642567,0.00627040452289149,0.00185208872348131
1983,0.00716092097588455,0.000409398974327089,0.111318780441245,0.0692426235899606,0.0181264576728651,0.0106921787449325,0.00213281697550644,0.0108968733372487,0.067307428437832,0.00231519888898399,0.00967355676505449,0.06406274240512,0.00226532652965067,0.0281676428471577,0.00430365762562473,0.00286425799586525,0.00605248240283609,0.0055899575527577,0.000669792826714663,0.00675549739245866,0.0150898946220737,0.0273721002010318,0.0176641464571858,0.0165695077047674,0.0367255272667371,0.0044294212692256,0.00392908217235839,0.0163498518433279,0.031340390021946,0.0189783613999857,0.00307982001014725,0.00235583464282948,0.000296486677174317,0.00859490099417679,0.0595848538253706,0.00232554071730048,0.00788616686998513,0.00342232103742047,0.0174918681856698,0.0123560990039017,0.0154266736459951,0.000410725464575623,0.00156103050173583,0.00598239302367527,0.0161079526160626,0.0298420257711052,0.00225812717407861,0.00493323550851957,0.00705596259050175,0.0811011868010798,0.0697112191649527,0.0210525315528706,0.00124811159201209,0.00526877422019305,0.00219028306800139
1984,0.00410598907719297,0.000368792661197852,0.0588139350596095,0.0554987418692914,0.0121664428636362,0.0101492999345964,0.0114143007088945,0.0480000440886687,0.163372689405745,0.00260484331268844,0.0141530623303839,0.0248573909760682,0.00165422774655022,0.0283033805673967,0.00339892533868538,0.00134462289290161,0.00468411121747843,0.00837808082260647,0.00256936749118173,0.00447734080801688,0.0118341588577531,0.0286798877550807,0.00830515947125186,0.00277403919408,0.0171637454920393,0.00468963227561274,0.00316893083144126,0.00620167504419864,0.0210269581079913,0.0421187642776446,0.00757032590999845,0.00742249789580899,0.000369410507901218,0.00746639609773247,0.105938352893813,0.00503451907748362,0.00341202495236323,0.00775356685810258,0.00836931120848303,0.0182620207525108,0.0203340808971793,0.000436579456174333,0.00303118079217562,0.0108486152969435,0.00979445963195867,0.0468505324891307,0.00102470900196414,0.0129770792898685,0.00411843518081492,0.0314512539430714,0.0560973850045391,0.00801080308829437,0.00659649198555274,0.00908986777018089,0.00146155953807082
1985,0.00513594124462212,0.00049423836030975,0.0646677330631436,0.0229658194496498,0.0201366464587433,0.0107110735931844,0.0032411959423522,0.0803738731974161,0.102896743768022,0.00390008112390209,0.00834666408736554,0.0183978293211428,0.0020323237550846,0.0199412375467732,0.00134062898417908,0.0067353794344322,0.00243407147477552,0.0053676525647944,0.00166892775989116,0.00677638303039968,0.0107258876697398,0.0497271674677287,0.00874531300154535,0.00968554330492337,0.0180965824241296,0.0169701761612184,0.00525296936984013,0.0106309916297537,0.0231481090101068,0.0115868797863809,0.00803420645933448,0.00344769556517563,0.000345142159241694,0.0096741496785901,0.214895297581082,0.00210764595774206,0.0059909328443356,0.00372754115723907,0.0145446868440669,0.0101390896772472,0.00487455428305162,0.00442508816108245,0.0022742382542322,0.00495610146808224,0.0118889363521271,0.0284674075903359,0.00151965816109187,0.00448073042921857,0.00689854570004479,0.0404094270374316,0.04621681234957,0.00831980363088193,0.000912408653936297,0.00759395487120804,0.00172188114810039
1986,0.00334658422732922,0.000389315030789543,0.00439522970034093,0.105175418943359,0.0365467328474,0.00594985986718268,0.00828362929919233,0.0483490580294664,0.0852919200607801,0.00219600480384602,0.0191523306759378,0.11373906258458,0.00151541197212619,0.0306332051873872,0.00785960932196643,0.00452576394032316,0.00219681493839786,0.00728125922122142,0.000572958208864383,0.00428001271643831,0.0132366285524224,0.0480861603092299,0.0154354430969195,0.0228806665475049,0.0307068060842936,0.00508492989362449,0.00530129825072957,0.00519812464570562,0.0219361240217134,0.028289389988421,0.00824056620831131,0.00222783039307354,0.000489605142547895,0.0101004564050027,0.0148419664642325,0.00228396051748043,0.0140776330752177,0.00273754833968962,0.0118616486847073,0.0131256455703023,0.0100267381936562,0.0085842531371165,0.00461255237563057,0.0397517463156831,0.0152004576503235,0.01982304034655,0.000485275649973975,0.00842104736105246,0.00678297796568544,0.0482578580718824,0.0405046348267277,0.0108033113914129,0.00551236891897032,0.0106987217027868,0.00271240232449028
1987,0.00414249055353298,0.000395669140973992,0.0270805477076184,0.0715324841579601,0.0174404394895993,0.0164671411470597,0.0091729975383577,0.154444089742222,0.0867099992801477,0.00151268323657683,0.0103918518181622,0.0145171841819005,0.00190453543060048,0.0286917398681341,0.00137339970503878,0.0107917550109508,0.00400267200123839,0.0179672383499728,0.000929503346061181,0.00166737753962832,0.00934417949391075,0.0281081434690738,0.0331172013622593,0.0336494147071059,0.0198153297191609,0.00905424916366768,0.0138373788014895,0.0101793922085104,0.0354534020795904,0.0536888107574144,0.00509848151816821,0.0122350587300517,0.000635797078528431,0.0138075418790005,0.0445077110981407,0.0108305332020327,0.00823053326657263,0.00164728745540329,0.00737079350110192,0.00832452889823614,0.00822551158330138,0.00134822458562333,0.00722305359745156,0.0091469741513323,0.0126688886683478,0.019938115329052,0.00109844582141617,0.00563090831236233,0.0168892346806538,0.0195887734189064,0.0386862213269349,0.00561784821636499,0.00445308424969584,0.00720337258147396,0.00220977584192754
1988,0.0037518889750771,0.000374316085511176,0.0705284350808444,0.0265506046730404,0.0112734233705871,0.0496474712968827,0.00157195427562442,0.0274549938129836,0.0951084938439604,0.000730648654389589,0.0120776712376426,0.0160738823847626,0.00293114333089018,0.0167976988995063,0.00205203264956831,0.0124378681614075,0.00843392119689256,0.00525144480368755,0.00105075194485671,0.00488492799748065,0.0109772407779381,0.0464134593007552,0.00760091264373242,0.0246002031079346,0.0121408249231592,0.0102312555740912,0.00323018990242533,0.0178554719694826,0.0327619827950496,0.039326874098616,0.0103461947531024,0.00290868255281056,0.000173176853285487,0.00542334176658227,0.23419024929363,0.00225806328539135,0.00655172825776661,0.00339288928677396,0.00864356258392348,0.00663802219727263,0.0109289030609361,0.00193103844438597,0.00351953850142299,0.0122309321121069,0.0149030840446461,0.0180306182941374,0.00742079663594504,0.0030194088718139,0.00990247465149146,0.00925796122529352,0.0389567647540652,0.00607853025725699,0.00209739587129257,0.00415907981300702,0.00291557486287933
1989,0.00464413103485846,0.000411460705593551,0.0255097334109339,0.0225199662183763,0.0186100490709214,0.102852302638095,0.00872454006596186,0.059291033287625,0.110332901455108,0.00578827275044161,0.0262927455126671,0.0476690178161527,0.00195495100024111,0.031175361628572,0.00343203417926079,0.0125093367517768,0.007450961903625,0.0043871557247739,0.00359758951456878,0.0048319170485441,0.0162005435127409,0.0309641514650067,0.00305290061875269,0.0144637779549265,0.0163849638988726,0.00668209507628523,0.0100752199603578,0.0171010497114446,0.0306895445006403,0.0174401374850885,0.013398389835248,0.00569285111363828,0.000359268949416815,0.0177098366852907,0.0333373239454926,0.0100234769333517,0.0249883569100969,0.0036595471402255,0.00823233864082563,0.0231362219821464,0.0103513464335229,0.00739016354126272,0.005472507329598,0.00693944456706675,0.0224774894958689,0.024371184452856,0.00859746597746025,0.0070776621309726,0.00828286954156863,0.0316651060868139,0.0430563879408494,0.00399894450487014,0.00264448551810492,0.00953686553010816,0.00256061891113152
1990,0.00311119611329814,0.000424872720964583,0.00688527868601809,0.0150906835140483,0.0390255247977946,0.00729946174532534,0.0106669369282726,0.053227337926641,0.17626752598044,0.00422164892661821,0.0185247695293333,0.0517677467876621,0.00217349453142518,0.0412801442621725,0.00151955105963751,0.00828285128939984,0.0065136239484205,0.00728837325032221,0.000989733047381789,0.00639208137961084,0.0118810370705422,0.0397534798846271,0.0190368936844328,0.0100059917577121,0.013659916804883,0.00989143776544969,0.0123683328541537,0.0141761593674759,0.0165650103621641,0.096523412065345,0.00480015027044615,0.0158706842690187,0.000493965012090643,0.0136191200823181,0.0151873891792063,0.00315318958693498,0.0119236325744145,0.00452959060181432,0.0122106596769487,0.0188374826497575,0.00817199147156619,0.00812914313663251,0.00361263933297484,0.0133206129208694,0.0157782757599412,0.0200708901652489,0.000659529553584065,0.0075730350803838,0.0142119371536059,0.0317491669096597,0.0512372455422909,0.00377677481901279,0.0055423843078306,0.00829424912933377,0.00243175277254348
