"year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
1980,0.002635477681613,0.000412318904355033,0.00564945440212971,0.0609049681865618,0.028961751987153,0.0107989899320281,0.00553372813464989,0.00899676230877666,0.0652269786355849,0.0034827904030275,0.0246753052113087,0.060921746552568,0.00292174320521662,0.0618849170102283,0.00194917403911743,0.00333565604594805,0.0021860391882029,0.0130675913700424,0.000689858493595436,0.0122983009118824,0.0173064958491943,0.0316772102233769,0.0661316820448827,0.00184375655255865,0.0462726777060499,0.00849285888491936,0.010112767039508,0.00913251268002271,0.0181726766941477,0.0784602263011302,0.000965588928855251,0.0014286960935784,0.0107155855813444,0.00492482358670705,0.010233502544083,0.00278528446825195,0.00925815150302913,0.00384504360590639,0.0162392996549736,0.0131430655879205,0.020994890320933,0.000141825038361532,0.00773905799341834,0.00319587860171837,0.0108725309518353,0.0351545769453881,0.00613315133668155,0.00715242876256969,0.00485973586016146,0.0643553183525059,0.019685318368288,0.00132519354073418,0.011147605115001,0.0131860557703207,0.0331494222398063,0.000420582593180332,0.00131991356024149,0.00379943003932983,0.0159857955996933,0.00170583087540158
1981,0.00378601186781764,0.00035198316766244,0.0143499119737021,0.0782036031752892,0.118170762973111,0.0118119767063234,0.00812753184654728,0.00717379611498904,0.0781105457456364,0.00503092126612817,0.0137905073940516,0.0833766148573531,0.00213943783301647,0.0319167858175739,0.0013846624780605,0.00852330888918462,0.00549399094070097,0.0191207756852677,0.0018327105445276,0.00774312271402388,0.0125869997351526,0.0229072614530076,0.0153935234189707,0.00475051075557459,0.0343646657201944,0.00375384473866586,0.00325611900463312,0.0126835447217398,0.0185372944587875,0.0683117621316851,0.00477893839234771,0.00473471636804911,0.00607265316912066,0.00936017454103134,0.0117141153202044,0.00257013367897963,0.014144197260116,0.00450211621477316,0.00937026025471916,0.0171574011973012,0.0093215408932707,0.000306338715851436,0.00304572466874667,0.00852598660407384,0.0209835348630552,0.027180753966574,0.00100698319924409,0.00444615852792372,0.0044990456114132,0.0612122144450293,0.0172273046239577,0.00391750607489578,0.00492488238482619,0.00714536367525643,0.0305585161840396,0.000380683901412199,0.0013917376956239,0.00302476230071672,0.00794348566140582,0.00156828147666279
1982,0.00313257461672958,0.000308908456968149,0.0422329879945694,0.0922083528669373,0.0205648303767318,0.00812318065880004,0.00833508371833728,0.0123301078521822,0.0415953325136119,0.00265018413575007,0.0270714646890959,0.0585736138644508,0.00251706009382506,0.0359797361308215,0.00158526430269038,0.00627867539445517,0.00238864303721095,0.0185463055490169,0.000496724964821141,0.00866728534094098,0.0136149271128133,0.0279418569225614,0.0107564405364455,0.00390609612343649,0.0544686971890049,0.0170655539781061,0.00395902612538896,0.00870350896955825,0.0272340317963891,0.0521220155817499,0.00185117338296308,0.00385563592471687,0.000754993187020389,0.00606523125690502,0.0197403689008989,0.00256217475617931,0.0140850097693982,0.00304196871265448,0.0123069277017706,0.0165365034349945,0.010742957837258,0.00030642951794537,0.00143568399296803,0.0156575456590768,0.0276165262991319,0.0536786167988095,0.000867415944939478,0.0109004774672067,0.00708920695313895,0.0407629327244548,0.0639114969157745,0.00756486639683431,0.00540297181630627,0.00519065834682682,0.0222319754103243,0.000549270726973573,0.000716415081828024,0.00725447428268461,0.0223496471518287,0.00161197275478758
1983,0.00437580011714479,0.000393810273672584,0.11003357184243,0.069423816721636,0.0175611611426924,0.0110478359224506,0.00209750952470192,0.00958896478318631,0.0691117591539425,0.00256398492531221,0.00882023693308799,0.0641437563593305,0.00247980895498578,0.0251777754535891,0.00442781022469428,0.00324978865190688,0.00659186872215384,0.00594129608809602,0.000768277739219511,0.00637722790841999,0.0114438311817261,0.019406847483047,0.0185293187840012,0.0145830900213947,0.0334649260136869,0.00449567575873414,0.00248340948582877,0.015517875861615,0.0289859675508976,0.0204488304686127,0.00190553125671079,0.00139251909154721,0.00173420649917347,0.00801334934955832,0.0588819457849293,0.00222286389852259,0.0078083300923944,0.0034636351152831,0.015947201196185,0.0130928598850186,0.0151336539537957,0.000674188121446735,0.00249159203535221,0.0018442798034549,0.018380423196147,0.0366049792808096,0.00219956909565853,0.00464114387121921,0.00822593898460714,0.0804972566248102,0.0599793812553401,0.00658697630670057,0.00136899758400836,0.00523942620976678,0.037011389729048,0.000286824269033225,0.000839732998144824,0.00414998605979032,0.00414410331760557,0.00170188108174133
1984,0.00236883871494707,0.00038787409973091,0.0594765666571478,0.056566652633822,0.0119642598113761,0.0103057727748927,0.0103618964007327,0.0472066849714542,0.162670266899933,0.00256169979248414,0.0145157233338284,0.0247508690039026,0.00166736094090332,0.0263208073588976,0.00295177825280662,0.00157941108259852,0.00485158486731762,0.00816263013888367,0.00260542963008327,0.00438935100515002,0.00750213035133033,0.0209484942498029,0.00863666724272661,0.00191169725764376,0.0161172568400933,0.00495937966418576,0.00334025000576182,0.00641896903452963,0.0199490366692126,0.0431613328692043,0.00812014452166887,0.00549510877440905,0.00266614138546181,0.00702453748767421,0.106395475211091,0.00497649877646625,0.00322267535438266,0.00815628984723947,0.00766561232307683,0.0185468763098655,0.0200795043162849,0.000566965813875268,0.00320865447652472,0.00443147013655635,0.0102864035732237,0.0527597522286897,0.000909517202418773,0.0129664915688901,0.00382674233910121,0.030842572305989,0.0204077249816597,0.00793398307157556,0.00762860499853358,0.00896174488616864,0.041812422834206,0.000596197855698894,0.000547589865381842,0.00616527568897954,0.00347833014752167,0.00171001916200143
1985,0.00274538874462285,0.000517416858817073,0.0642634412142458,0.0219941321643277,0.0185935340916828,0.0108056572094727,0.00242495341170865,0.079231442500685,0.0999442262815206,0.00330286811207995,0.00787665618887134,0.0184628533018242,0.00181638231772873,0.0159782587524445,0.00133510421015378,0.00692916523686576,0.00234112421815901,0.0053024601442588,0.00146231394475064,0.00614429015580516,0.00771170661036286,0.0338562410153824,0.00924145662479739,0.00673224361287384,0.0169076932871091,0.0177673874987029,0.00656887979462622,0.0104961576555298,0.0223574909139233,0.0125270991354283,0.00787388088671404,0.00203179503117703,0.0101402607567619,0.00632838247248442,0.21679757401414,0.0019188146888111,0.00567886793222388,0.00357419287033722,0.0136717522183401,0.0114290345877539,0.00429542855839341,0.00564810774473085,0.0022394991481604,0.00412921590736824,0.0123819389076288,0.0319794718144693,0.00133971020335372,0.004713285904147,0.00749760194754065,0.0399754830792447,0.0226909452630964,0.00800305496622741,0.00105751177405829,0.00632500931282253,0.0405609677389499,0.000411999738350352,0.000664512582647756,0.00607769630032031,0.00296631292599714,0.00195966551498809
1986,0.00180788418312547,0.00039165755024489,0.00414218197184923,0.105217309546556,0.0320504273704868,0.00572436234579341,0.00673197430702371,0.0476110844970772,0.0835365327182932,0.00226243253868059,0.0223007580179184,0.112931141188979,0.00146230604268351,0.0270675622557537,0.00444870396277065,0.00454706247812229,0.00230538883159248,0.00716963798145344,0.000722047317745519,0.0030585956598862,0.0098780219286174,0.0329333336272814,0.0206173656949852,0.0205540418452013,0.0265888809192721,0.00498845560700992,0.004325300519469,0.00544184647231542,0.0199236841634469,0.0278462776139292,0.00859166372354801,0.00184162523989601,0.0107063098336494,0.008772760663794,0.0146931928842796,0.00212806115314045,0.0148824984877198,0.0028138139371932,0.0113370444358947,0.0166006678546431,0.00961480022905366,0.00996431369542242,0.00362939882914282,0.0304517397680501,0.0142922963675187,0.0252667910794947,0.000450754908985705,0.00810295984413016,0.0067483267956826,0.0483762718637478,0.0152733042593486,0.011524216344349,0.00900173913160036,0.0109641685304702,0.0358108898713087,0.00122654589486099,0.00106697525107578,0.00929913334683687,0.0056961993174437,0.00228527730015511
1987,0.0026107127575988,0.000414345691458894,0.0270349271421682,0.0705437660654546,0.0158997816285551,0.0162967005177377,0.00764365996122856,0.15432007225314,0.0866323592899734,0.00163924708959401,0.00999572119425928,0.0146096780341035,0.00186602371428849,0.0278361818172529,0.00129330601328375,0.0108631173449375,0.00426155929806478,0.0189043792880813,0.001428273852564,0.00153044545405406,0.0079804928925011,0.0256515459398277,0.0347604356455028,0.0346147142714405,0.0178270674048825,0.00872906870754743,0.0120935809100609,0.0102659208776408,0.0340835428881248,0.0541938362003648,0.00394566015201363,0.0105865877613693,0.00426738517690422,0.0127955076351763,0.0428319012668862,0.0111578353082993,0.00758676890139203,0.00174168023961214,0.00681331541915547,0.00911007271852916,0.00804540459479002,0.00284569206943759,0.00658516415832385,0.00465222884570408,0.0131140343237014,0.0249969061966898,0.000999206957478041,0.00638163484406519,0.0175313315966229,0.0196671086188531,0.0155900064313983,0.00396165600097531,0.00517665151952073,0.00836997917317204,0.0261796066489602,0.000502966397795954,0.00113149973473789,0.00265400168462161,0.00316208963021466,0.00179165184790738
1988,0.002271198644147,0.000423046868745069,0.0695010758350086,0.0253894748639933,0.0111494815473771,0.0495704332146505,0.00131740615713085,0.0271394658214507,0.0934220409070806,0.000908373006928361,0.00993851630803965,0.0158397956367234,0.0020709980023039,0.0151415196638849,0.00179128679136435,0.0123256151896839,0.00821364752974891,0.00499077543359847,0.00112647453139164,0.00441328617025495,0.00853001174208146,0.0356517963819243,0.00798181651571114,0.0258614877431322,0.0105756143081748,0.00782148479530718,0.00370020127407532,0.0180729816057625,0.0310104196755896,0.0393779664185793,0.00945526226670731,0.00174447442618743,0.00516187622607007,0.00500560902676281,0.237004503645169,0.00167899434331863,0.00714954775511011,0.00344907680114883,0.00828296024838219,0.00664528069811457,0.0103510224450699,0.00252723984837727,0.00376189651510798,0.0101250785039123,0.0162966006933692,0.0197480561071957,0.0074182888427821,0.00331501957640509,0.0102797535002855,0.00918134515062525,0.00907859732061388,0.0072837137310265,0.00266418184877573,0.00374336125519702,0.03808128422951,0.000319371421754908,0.00053564854184796,0.00483450522798749,0.00784329425271794,0.00150646296662329
1989,0.00321524624165264,0.000422119399854854,0.0250614493096157,0.0230202278309391,0.0161797157491893,0.102530654200298,0.00901759959683143,0.0594516876768749,0.109397763172518,0.00606873094246411,0.0197185377659836,0.0469600952432269,0.00191018507953968,0.0284275124426155,0.00280205956854862,0.012655721499329,0.00754537633923722,0.00472559381762593,0.00296713722946385,0.00458677971637333,0.0112344659936003,0.0276210234588889,0.00306026882904151,0.0136894477264505,0.0148229178067469,0.00861189218472615,0.00833112520442994,0.0169990292673601,0.0279469110649344,0.0173363600563491,0.013446458919987,0.00326967343822615,0.00486750630925261,0.0159242073919468,0.0314208305706781,0.00941315951763323,0.024167943911621,0.0037283482054781,0.00764680714078401,0.0255615334459069,0.0105258886070435,0.0088374112456107,0.00397456781635461,0.00494843871650542,0.0252744691347336,0.0299484604382226,0.00852449065913018,0.00725044438770155,0.00939028333862803,0.0317792403318334,0.0212285825661925,0.0022693626537243,0.00290920683739291,0.00965475385347877,0.0320829511987442,0.000500418869284359,0.000880617050132822,0.00711105664397749,0.00495230459333883,0.00219294779174695
