"year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75"
1980,0.00146856373701779,0.000343746684382161,0.00302498034896771,0.0387776587398224,0.0147722882014905,0.00740093769019359,0.00384643468998097,0.00794440176846883,0.0447993428163402,0.00330887767018826,0.0140880144614386,0.0532704720540943,0.00249121923983221,0.0541721044708152,0.00136043709317242,0.00300076559905471,0.00200435973921676,0.0102569152016806,0.00504065060352541,0.00425766976409357,0.0152984300158222,0.0281529332071064,0.0474829726216994,0.0037435357214737,0.0373007154983559,0.00145821763587891,0.00203610994237814,0.00745386721091763,0.0233396758128278,0.0686195450348553,0.000526914692821299,0.00162822818231714,0.00432744562246287,0.00275136626933189,0.00634177963876309,0.00228021001235149,0.00872429605557219,0.00264312069882293,0.0136573921831855,0.0165894143027559,0.0135078188869956,0.00593509783424219,0.00382069792729571,0.0321732021104932,0.00656492308555434,0.0747382658440574,0.00602065969281297,0.00661835777118694,0.00461074534339689,0.0414883608141205,0.014366693426655,0.00221433741733059,0.00237074698267011,0.0045251150877956,0.034985706034417,0.000407376481822474,0.0037221866450895,0.000775555049126014,0.0157226266988276,0.0117694112568746,0.0176226310463828,0.00684431864927631,0.0155584058358961,0.00366611793436007,0.00188529824330556,0.00624703865088629,0.00661689555633628,0.00536617029852365,0.0222723541119922,0.00630468255166228,0.00358028755514673,0.00129123349990187,0.0178840276560159,0.0277456675721311,0.000790975513942881
1981,0.00165238428948341,0.000303359749737619,0.00590884893334691,0.0548771289548964,0.0996361319303557,0.00705666397493279,0.00649443352349307,0.00601364949143276,0.0601266950356732,0.00491373032632927,0.0100199013022316,0.0747400495898858,0.00230179667430022,0.0394139821807625,0.000682978347338839,0.00830892044530962,0.00500106027669657,0.0143990418350696,0.00836114074637809,0.00429509882187755,0.0115734401489595,0.0264340882322929,0.00809928235083482,0.00422721357865464,0.028147087054225,0.000847637215020529,0.0015524180957665,0.00843653440402108,0.0221886857878043,0.0593707007803832,0.00375121958679321,0.0037744787582843,0.00333479997095702,0.00705376598872108,0.0067961517407415,0.0028455375067019,0.0132563435746355,0.00333454577900966,0.00752516154053616,0.017157970659666,0.00798509274151733,0.0108214786736412,0.00249789818169813,0.0318525844397709,0.0132061648116398,0.0478459935062231,0.000858091811105249,0.00325068958892994,0.004378443490201,0.0532642294051917,0.0137877159638274,0.00331721797243056,0.00362876963078568,0.00434554310127481,0.01844971395283,0.000359087963205223,0.00559135940622291,0.000726876273365913,0.00667070475911519,0.00677211232753698,0.00370269924124602,0.00309512189242207,0.0102762193023321,0.00418112272857903,0.0021172838921912,0.00261985729023585,0.00705952522050203,0.00512437389048855,0.0288022836956148,0.00271048840266075,0.00528852036735239,0.00446902170451902,0.011411818568871,0.0142593962431469,0.00105844037578494
1982,0.00206352570262441,0.000332646141486444,0.0203991008862652,0.0501339120950538,0.0105562906039343,0.00627816296247708,0.00721188948403259,0.00953675191200527,0.0314317113525152,0.00228554093694067,0.0183410549406104,0.0520649287993856,0.00260152798994541,0.0460767107045328,0.0014129814907005,0.00543949999710571,0.00201714458845519,0.0128102536557142,0.0167351231875079,0.00399421081944746,0.0110219749415671,0.0199559152250449,0.00585315684300759,0.00590821213493462,0.0384700117527291,0.000744334738651491,0.00203590134056357,0.00709559871626558,0.0319123296147114,0.0379694386117307,0.00110211929675283,0.00264194167263152,0.00091838163432615,0.00443964342649852,0.0175554762276317,0.0018657390163504,0.0156327578995396,0.0027264464827003,0.00999857110954738,0.0213869122680458,0.00750855439716908,0.00248012175353522,0.00105993905651059,0.0514097977605071,0.0158936754715745,0.0786239794123707,0.000818421938901032,0.00816872407886676,0.00645101491008388,0.0314880036360286,0.0556629045888508,0.00437485800745628,0.00145310381270707,0.00265258563330091,0.0219764463429861,0.000450102925765101,0.00307727862162089,0.000999050453589441,0.0150059900898834,0.0070568711803539,0.00611195598990156,0.00311527409365756,0.0198385953107904,0.00253745017860524,0.0022390210590084,0.00570020310058837,0.0108064535663098,0.00717042852449579,0.0199373383717412,0.00435053147766965,0.00239809545067641,0.0022869131887165,0.0284809589213913,0.0259309751908553,0.00152655029956083
1983,0.00200745567173742,0.000361394280588063,0.0555521785247075,0.0453904525100796,0.014932120286369,0.0087090786510545,0.00182304170808399,0.00781371389631119,0.0539919460212662,0.00251107417415871,0.00596094770493758,0.0536280533824295,0.0026099637654037,0.0377407961381011,0.00407542252864308,0.00284454623992686,0.00585698849318208,0.00388471445540278,0.0377102603547604,0.00289379836065467,0.0112357204602533,0.019320161182035,0.0160008396312583,0.0163801583059105,0.0193353276137733,0.000301221792962612,0.00062993966432231,0.0137217726150864,0.0333718415652918,0.0150805680632314,0.000706633083740353,0.00196152238591891,0.00102496116691426,0.0063795011677338,0.0551913741387138,0.00259776425414939,0.0128006757189167,0.00240462147199846,0.0130520229378657,0.0104235671335728,0.0106619744829036,0.00381774988226497,0.00151272561016535,0.016871255234144,0.00904633853027097,0.0635540778838237,0.0026017874948226,0.00408495293978696,0.00803679506481029,0.0661998054945898,0.0522090912068627,0.00544082799913419,0.00069408963307027,0.00295615146974553,0.0157307723134924,0.000273051792491864,0.0020613322079791,0.00163706163931579,0.00270934826381515,0.00326407622177574,0.00216873092189137,0.00296983770710324,0.0159110134844798,0.00332605636041264,0.002114293566224,0.00383048185796051,0.0178687392620371,0.00231789098326435,0.0307928954500916,0.00212588539056784,0.00167608464603938,0.00405787699304893,0.00868545453618623,0.0256938812033018,0.000879470770679251
1984,0.00170833036633693,0.000361716330317514,0.0247165315109962,0.0316460091986732,0.00787456834172773,0.00906156238139573,0.00888421985904988,0.0440680760890188,0.14187853669464,0.00280747014525593,0.00952262113832674,0.0225933459096572,0.0015926605710732,0.0410263788582024,0.00145104759051895,0.00136062093083828,0.00447083119621967,0.0066896129244062,0.0276873710733771,0.00347342963962805,0.0075900909623143,0.0171333880821142,0.0039366906933441,0.00324951593138117,0.0134348522730714,0.000689572775691268,0.000686169332849435,0.00523315669510386,0.0226892979242323,0.033663068293924,0.00904983938067572,0.00692251472491436,0.00193490256400644,0.00463702296059815,0.0982376984069264,0.00439897594597761,0.00405128463638161,0.00673370137959158,0.00752481220459637,0.0153308976023303,0.0185196171534266,0.00313744097751743,0.00225587042387501,0.0217378836297805,0.00574875802968486,0.0783285665318749,0.000685862425633302,0.00414557465891379,0.00390808382174583,0.0262274336656823,0.0157528727814563,0.0112230369747827,0.00572462186739904,0.00379760625841013,0.0150326104012635,0.000422271515561618,0.00171058324154355,0.00159866648336855,0.00265188113273312,0.00464821404444554,0.00130309321441987,0.00437435513313555,0.0178314637652235,0.002788038737424,0.00282029683740077,0.00879614484088555,0.00800739942553216,0.00296595519698632,0.0375004015977161,0.00404760729209302,0.00282556529414234,0.00369826174064507,0.00884427131774755,0.00618967248924936,0.000747623578615979
1985,0.00183456301287187,0.000457474695295774,0.0296182790009331,0.0201967648930522,0.00955322480063715,0.00850156816297068,0.00195725766802645,0.0724751191031477,0.0854560383980165,0.00316267109409942,0.00670267784274717,0.0151318170343342,0.0017279734681161,0.0236928887117753,0.000990392794598414,0.00644102619216295,0.00221207062875256,0.00371693504538705,0.0230226474312559,0.00398156283735443,0.00793976342607185,0.0209999887134816,0.00745078910558848,0.00763907201780628,0.0112879853107242,0.00460378884481161,0.00108210053591478,0.0081295307449615,0.0243578664980229,0.00651474971685123,0.00393762743704696,0.00187268979477841,0.00661974290143552,0.00509306821346836,0.203336810179521,0.002463331646254,0.00644538710173121,0.00270680656061507,0.0124633131437169,0.00888618275548367,0.00345628614784207,0.0137182385053069,0.00152955164449235,0.00333534460868383,0.00602555429160616,0.0643858814954856,0.00179038515043259,0.00385885606055834,0.00773521359929433,0.0313438346892856,0.0183234735727344,0.00698608860752178,0.00123669569543552,0.00241437929972864,0.024733804577893,0.000610487055913112,0.00156806012950584,0.00443934997548292,0.00185685601817823,0.00118440327492474,0.000833632759485661,0.00227451990336915,0.00862603456241919,0.00365296400374323,0.0022335149423956,0.00373614657679885,0.0114708469257768,0.0108147959089513,0.0362012909351049,0.00333375310429748,0.0036177958043744,0.00673462822420228,0.013564132652625,0.0169903845554126,0.000719267276917671
1986,0.00155132612909316,0.000306892872811818,0.0031181601048925,0.0676847586750364,0.009714922252834,0.00461431832724122,0.00590395536569354,0.0400619848766726,0.0643506562683909,0.0024599582088529,0.0138031930695737,0.102099123065065,0.00127218391046611,0.0373852315083989,0.0014641614138049,0.00363971839254375,0.0022080413708115,0.00537029680523561,0.00176226060392858,0.00166750818717143,0.00882555806922155,0.0390434382332875,0.0125345209738882,0.022107744708793,0.0203810193810776,0.000499585202553817,0.00122128820207543,0.0041475192387928,0.0259645494709569,0.0223711055891513,0.0144890099774202,0.000949751836554414,0.00551270386644052,0.00774800727784811,0.0109289903654254,0.00237615292428842,0.00954706291099884,0.00301688707426575,0.00986743647513869,0.0142016463851425,0.00621308429855162,0.0105084631461652,0.00322494909901651,0.0373406714824253,0.0104065741546146,0.0618823928328737,0.000467049463856314,0.00464884754346177,0.00602857675327088,0.0410868133729902,0.0117936465016187,0.00440030092974559,0.0064439595334347,0.00615960197807997,0.0318565172038306,0.000841750329263192,0.0162877174359507,0.00347316542970432,0.00276014775723981,0.002457142930962,0.00308313967897101,0.00324482231089021,0.0309820726699198,0.00387024575269311,0.00216446506773468,0.0074082632574509,0.00621083687488286,0.00457675127134058,0.0224022755786487,0.0036098088955884,0.00692077304037958,0.00984674534878269,0.0115366902141935,0.00903914719183781,0.000649961097791414
1987,0.002440884764232,0.000359123953713873,0.00679741277441228,0.0429848469184679,0.00963119547608552,0.0143006266631983,0.00710209255914915,0.14047031211607,0.0695296739263189,0.00252036626948219,0.00625932453994818,0.0124820807725468,0.00204605649723037,0.0353810394084852,0.00108954414974396,0.0100274128241484,0.00418409276994483,0.0134453032450337,0.0152069987044476,0.00100737400656505,0.00696459594862743,0.0193787473536931,0.0305632063185333,0.0375605373117373,0.0128726605514365,0.000419064049532091,0.00351392146745553,0.00935544351457216,0.0409270972810149,0.0460545614195154,0.00216287715928312,0.00361461726189466,0.00509958214986357,0.0110054828920816,0.0381346877402781,0.00864141431710298,0.00751796319676033,0.00140462073991964,0.00625226024082099,0.0094584925606504,0.00680573729928571,0.00774347465009128,0.00522898438041728,0.0184271210464171,0.00699499377633255,0.0549875341467875,0.00120723627311464,0.00568188908896027,0.0168741380539134,0.016690705636185,0.00952401369536417,0.00393291581154194,0.00186778234054419,0.00199596954271703,0.0152280086233347,0.00139087180938068,0.00284450786924112,0.0012403686985228,0.00244618992514076,0.00592914728569583,0.00388570925188178,0.00431141942766776,0.0187462054509591,0.00288851860284497,0.00145751372717882,0.00596054331969548,0.00874091312384347,0.00828487737111917,0.0297280691839732,0.00549401465011482,0.00359536999076054,0.00475949955862089,0.00839853065316016,0.00787923917021248,0.00066039075098233
1988,0.00152881900273598,0.000326062351074977,0.0440458936397946,0.0140490768154328,0.00731951494898936,0.0434216880570166,0.000940379794170401,0.0243945054077278,0.0862548306080077,0.0014509785091359,0.00778432940015427,0.0139072238546198,0.00200296623694968,0.0264180047372132,0.00125973306841625,0.0109456509273145,0.00777829697491864,0.00364352972777221,0.0157713681436894,0.00194066011562106,0.00709844959318661,0.0121738220694082,0.00819978690664584,0.0224568145446161,0.0060096999117105,0.000201154675564319,0.00117174464709684,0.0137956469074314,0.0312707493192539,0.0305711403509149,0.00659497331170598,0.0012267685217662,0.00524774599957595,0.00477044422016383,0.216880236893892,0.00266533583029946,0.00885014937484687,0.00329172324625145,0.00722554866359373,0.0114735848118119,0.00974959237081991,0.00530580460946755,0.00252027451674006,0.0146942163463906,0.00888989211028873,0.0477012136652238,0.00704210107960838,0.0027101394397376,0.010063176755332,0.00751935056006181,0.00823120986068848,0.00641166860591903,0.000347020332192057,0.0011865911074578,0.0258283180123299,0.000230081902828607,0.00120191665488867,0.00275926792425289,0.00610624951162773,0.000790337653343742,0.000919844793655513,0.00208280749259934,0.00971395160273186,0.00301580333939182,0.00372077383681148,0.00195976877904144,0.00917999440316367,0.0103047408039815,0.036275558984527,0.00136938838648784,0.00141352906130939,0.0115843746281907,0.00882991031794353,0.0133463320772622,0.000635766353212534
1989,0.00191335076002515,0.000333080867813762,0.00889470207707597,0.0188624214180288,0.0114219314599321,0.0901352360991121,0.00613049494535439,0.054807245249351,0.0877636585631352,0.00627762998343517,0.0127914422826976,0.0417981259932344,0.0019124524804385,0.039261151800313,0.00136448094216348,0.0122303226349652,0.00686074732835052,0.00322190728756565,0.0149236520008868,0.00364743507875759,0.00952890925033022,0.028076131579645,0.00242055279571489,0.0139728502856983,0.0115055454260914,0.000826037198720398,0.00120295616455978,0.0126190148889616,0.0311067357257862,0.0112301027935008,0.0123011092700896,0.00260279036435158,0.00600509684002049,0.0139540291308952,0.0270405751414784,0.00847404301460937,0.02275167931482,0.00358296744698291,0.00730401295597176,0.0190896776830718,0.00941847699998372,0.0141099324228724,0.00281780300565721,0.00767645448931323,0.0148631827786558,0.0486874652413593,0.00771004049076543,0.00573624329710152,0.00954959643192477,0.0285841830682489,0.0158480439754318,0.00335136035878407,0.0029376194991333,0.00233638860488144,0.0169845792301173,0.000780348271537276,0.00183019052593946,0.00228097674635836,0.00205518294152364,0.00337332615510616,0.00455276993342884,0.00629148582216722,0.00807716296080026,0.00338935195377888,0.00137294550767051,0.00420529100154731,0.0062680651686082,0.00454912240055954,0.0315642495864515,0.00747050110005595,0.00656892529860893,0.00585917943353209,0.0200425489123025,0.0174105166085802,0.00130020325327685
