"year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50"
1980,0.00335972451048565,0.000464432103656729,0.0175923477090678,0.0722104332090631,0.00679605507123264,0.0276107349310254,0.0060209181485275,0.00631857188493057,0.0183824783920012,0.0167289655218307,0.0119130916192569,0.0144029103781774,0.0104689161067671,0.0203503346818182,0.0146447684720783,0.00229446158816169,0.0191819841933786,0.0254187799733124,0.0074191103152957,0.0399117343825464,0.00119673268507399,0.0219621783138119,0.0189300590488746,0.00890246168117434,0.0506352147102945,0.0168761606528851,0.0114077674549551,0.00652605890090763,0.0433726460138733,0.084354258002269,0.0370840985003748,0.00459087078784382,0.0114358023148673,0.000879280466072969,0.0316853202496915,0.0332781592165017,0.0415807173314579,0.0159050036700866,0.0155050741150448,0.0153050715702594,0.010149367085529,0.0154932466108322,0.00537891467026221,0.0162457723391207,0.0360607960869915,0.0292988913165072,0.0502436599466872,0.0138490861437242,0.00289689369947331,0.00747968322193823
1981,0.00834647518970867,0.000946031650600963,0.013414659402088,0.0615119484594357,0.00822996883679884,0.0234461850980861,0.0220765969628868,0.00337583246069223,0.0126154094759265,0.0163429668018268,0.0345501119559829,0.0282491392098589,0.0111025220159505,0.0141867888833348,0.00895642497159171,0.00232246114930545,0.00994381676654111,0.0404584782980316,0.00798874366018265,0.0437408141079571,0.000990272410806421,0.027320413538524,0.0331772736148465,0.0125620070503241,0.0341784121890098,0.0340454820936814,0.01632362027236,0.0118612233010801,0.0491805551711679,0.0654630269611012,0.0213947384756724,0.00353185865068339,0.0220121907539642,0.00105545984763309,0.0277072265046025,0.00641621827963929,0.0268033069988278,0.0145368422677573,0.014589756375718,0.0102893655128215,0.00751881946982417,0.0188705567489831,0.00714084262729771,0.0612382041275389,0.0251958501689412,0.0265596558306559,0.0197629181722468,0.0179255371687698,0.00111679176701681,0.00942619829171727
1982,0.00610620784668655,0.000826920390446048,0.0137246541483985,0.0332525383884557,0.00806293228611482,0.0218980395967724,0.0149354321489155,0.00283236351864006,0.015510424076614,0.0210493048600551,0.0169960443331745,0.0347802246036005,0.0114340212514159,0.00501618688227099,0.00724356654982642,0.00483741761701628,0.0200643375441167,0.0396545378182156,0.0156557841103268,0.0406045216426943,0.0040473585764355,0.0279572259871984,0.0225913144793077,0.011325151593786,0.0612962848802758,0.0343831378259551,0.0289337453580349,0.00837958223811701,0.0463263736127375,0.0774155080172663,0.00876485513584901,0.00875650628306391,0.0172529926028374,0.00422367508881788,0.0182855003361932,0.0263425101495294,0.0141729147137059,0.0280788203916571,0.0227309449710896,0.0109563781139347,0.012885130774556,0.0158642334739127,0.00519919517406423,0.0542514985325827,0.0202231772428369,0.0312152900147151,0.0152714601728567,0.0131521008189766,0.000605339667206055,0.0146263341587438
1983,0.00637178150392763,0.000627665108923296,0.0422714050157015,0.0509741661644109,0.00738422417585106,0.0206329601342682,0.0135266253909342,0.00199451593781069,0.0123601095345941,0.0238609948117461,0.0158871927351765,0.0253302181677229,0.00979983136124462,0.0204469456599828,0.00576659597484123,0.00311961193774753,0.0168871488890709,0.0302803840557188,0.00315765440697102,0.0424589145703838,0.00896770404179207,0.0379992673233779,0.0287474756478878,0.0190394361551839,0.0417215502131951,0.0249786835896315,0.0231248744324543,0.0103262739374152,0.0518248071431765,0.0699660429045467,0.0164684131463117,0.00244769022392683,0.0273508792934595,0.00430130053099669,0.0290125058601938,0.019465231707713,0.0187771086296767,0.0292227367882753,0.0238316641700646,0.0157943389886018,0.0110538574318676,0.0185317770731409,0.0111762067714057,0.0283287276986095,0.0146178013120876,0.0175403579298544,0.0214831066055637,0.00634045906146389,0.000432996907376134,0.0139877789437219
1984,0.00776061803175759,0.000411135818737268,0.036765651572784,0.0503434435779851,0.00606918700870471,0.0214648451422541,0.00720630565557111,0.00739765731408693,0.0125739869670184,0.00857035083761646,0.0150112373563996,0.045674924062758,0.00851702499558884,0.00753191802011848,0.00856479449426025,0.00507485965304727,0.0204152759872235,0.0396569082900364,0.00839008876770171,0.022801316441038,0.00355232738075855,0.0269564663439999,0.0155209470859111,0.0110156209576256,0.0354926139240827,0.0213083865489014,0.0280224571950996,0.0132158712561908,0.0622928148708123,0.0721757845088017,0.0174474277559851,0.00410490655760758,0.0158410779985261,0.00227993633594468,0.0460899988141255,0.0227081906820134,0.0231912228700242,0.0160189317270731,0.019973716991312,0.0153138299797901,0.00626035054562622,0.0198696769429627,0.0128768189705846,0.0518796984143329,0.0245742793627076,0.0374613382712879,0.0133560117900545,0.0101606578510152,0.00122294012288037,0.00961416794927494
1985,0.00504532202156531,0.000460612928172249,0.0542077107060495,0.0400787257993946,0.00662989971501362,0.023194965955606,0.00799202230787054,0.00373753285563752,0.0122374755782109,0.0158152160259571,0.0121689430812075,0.0155656815535794,0.00520400999286215,0.0264122177113588,0.0107082018510042,0.00272986462859327,0.0137639562895789,0.0356264085490088,0.0253366408717706,0.0289751912771086,0.00192411725239203,0.0273696929833038,0.0130494410402377,0.0115331601904816,0.0215757820108993,0.0221663003224269,0.021415734913835,0.00760056794513124,0.0606700656377142,0.0536006676149009,0.0254499651985428,0.00341324827000321,0.0163174600338202,0.00136012831776706,0.0799642645563645,0.00729986117115834,0.0138372440873884,0.019455923743696,0.0255804174984357,0.014065567438403,0.0142292143362519,0.0192351201482922,0.0163882370747851,0.0472724384330828,0.0247462659528614,0.045443381632041,0.015707273788401,0.0171530493970381,0.000674295954598827,0.00561051335619629
1986,0.0052487821289142,0.000465959733897112,0.0296869242115881,0.0414680418773821,0.00757914693598425,0.0356562530131006,0.0169837026276304,0.0106322236365173,0.0211322191314824,0.010243567270569,0.0126382649116402,0.0221134122682529,0.00437021457087399,0.0138497266532272,0.0128626651663583,0.00875717900410248,0.0160538613989106,0.0340482993388626,0.00400046664054544,0.021481597480602,0.00153828914978547,0.0232672326267265,0.0198057654038178,0.011933934938624,0.0303610588955134,0.0261988282018204,0.0295227149382874,0.00988520551782913,0.0614040723067582,0.0570636043964458,0.0232397551570286,0.00354087869358425,0.0238532424987385,0.00287309906364346,0.0417119332941406,0.00623087180818556,0.0357592113414847,0.0317030866254056,0.0181358512069556,0.00705301754097093,0.0104059065919645,0.016673205829556,0.020036957669758,0.0552824623921315,0.0249804534185894,0.0375154903012872,0.0113262277651029,0.0197875396390448,0.000955848630968946,0.00868174615540987
1987,0.0129545890864547,0.00059734948024959,0.0303094610103163,0.0318842452052936,0.0049531197693643,0.0383254486398172,0.0118446157859272,0.00577783448436382,0.0122403276044492,0.0168898855276358,0.0134073550814713,0.0117790299192778,0.00537342579169985,0.0350574118966944,0.0227562039287995,0.00301654322211819,0.0228074940775308,0.01526801457432,0.0204961591075024,0.0318086652569844,0.00366737081604066,0.0258875175822767,0.0111571048778277,0.00800354619522874,0.0552692575447884,0.0337528138927999,0.0134232085647856,0.00828223147101001,0.0809379793689687,0.0482150207172817,0.0155151365472361,0.00403378130060217,0.0203058347469814,0.00316350806373809,0.0353281010708137,0.00631594394402454,0.0276362023552329,0.0407155514798001,0.0159690622513543,0.0135255506592096,0.0095165083871647,0.0181940791899071,0.0085095151688612,0.0530515203066412,0.0231637341205897,0.0209466991659388,0.0174406674878174,0.0153766234981122,0.00062512956239288,0.0145236202123036
1988,0.0070164832843297,0.000524944816536486,0.0126524668659328,0.0496056161987223,0.00682012056983383,0.0187470528927782,0.0170497789121822,0.00887312722302258,0.0136636261588845,0.0201561182453167,0.0209003262364226,0.0262467795719032,0.00979482676638367,0.014054920097806,0.0169150098259462,0.0121253300375446,0.0200347887628158,0.033581302472921,0.0126191615785341,0.00721518143324831,0.0114980133368475,0.0319069121914201,0.0134871600388318,0.0254199583601121,0.0392209604433573,0.0403323847594154,0.0120321938840767,0.010366393259264,0.0607234237842871,0.066462647087295,0.0238326238557022,0.00462638543870408,0.0339247223729267,0.0015751723258006,0.0174413001645948,0.021766132841127,0.0284722003685816,0.0331921880684907,0.0246677596479013,0.0221539952990975,0.0110967265492859,0.017500839005979,0.0071385853251881,0.0303994365902823,0.0198027720697523,0.0200540837539669,0.0155654590435741,0.017143140420545,0.00173342270856899,0.00786604505395921
1989,0.00450469839803308,0.000584244764476428,0.0194276060355356,0.0366596585960583,0.00553435752366448,0.0275520758638258,0.0196771826515616,0.00869802971672336,0.0241505199133751,0.013346934132505,0.041727779460394,0.0412256458300184,0.00952945121695495,0.0172233830205918,0.010211786572416,0.00513693476254632,0.0243903703625402,0.0238957480585205,0.00979442445692967,0.0165939760270197,0.00457554550166895,0.0309330588038954,0.0124769466180329,0.0135431317863575,0.0237046522218865,0.0432419056866053,0.0361076037109415,0.0115626252580478,0.061889912854794,0.0688746866381141,0.0159506602676566,0.00370516006238705,0.0351728490441061,0.00152992820123166,0.0348374787885925,0.0127758800480981,0.0136200372141434,0.032599107306219,0.0175492674290839,0.0127202537645174,0.0079551842512416,0.0202075326339537,0.0124106825849335,0.0315046173080317,0.0148226245725328,0.0243409603674391,0.00853938888619068,0.0191598362910642,0.0018514327214806,0.0119722418130622
