"year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70"
1980,0.000606140829411608,0.000698840447607326,0.0169805141506399,0.0785366808835237,0.00630705772178025,0.0221050921711629,0.00393882331327968,0.00562353162896779,0.0192513541129665,0.0151415877715643,0.00865474319135767,0.0129552814262227,0.00989229413018564,0.00531718619656091,0.00494246081329033,0.00277605827348,0.0174042057207984,0.0164104973754214,0.00468074017657245,0.0372776565734257,0.00244258541475573,0.00706944810675836,0.0265456370850939,0.0038529199531182,0.0439069226099853,0.0059076674599336,0.00796136358077811,0.00569869121968216,0.0417330497541601,0.0676641425192556,0.0265756083042851,0.00368496650608836,0.0046047189804557,0.00581909614825572,0.0250995701536429,0.028135197782107,0.0248432357340822,0.00910547132245638,0.0165078660888722,0.0149425319134369,0.00939414599136781,0.0142372903701815,0.0029083395561952,0.0226884965785785,0.0266287202606034,0.0225204111643506,0.0342438529450839,0.01088888073575,0.00348637749569228,0.00857092714321753,0.0164733357988201,0.0154376095877184,0.0242054619898537,0.00285769656764242,0.000194834429571817,0.000554688023336101,0.0169260952074369,0.000200873330875498,0.00231604876812088,0.00378352458439777,0.0183414589038265,0.023152471896108,0.00768604577732461,0.0148169011175108,0.00129671321214546,0.0070942620274755,0.00267513167914471,0.0100368074849869,0.00935668768275148,0.00542447214450903
1981,0.00112020148405199,0.000759300067498945,0.0116677252962736,0.0624342816658502,0.00709888517752666,0.0159888596537601,0.0153241423576187,0.00269272621866121,0.0162666525333159,0.0160710874345679,0.0283806493647445,0.0266204831252511,0.0109120002593488,0.00717188113357936,0.0049212951133516,0.00461724201933708,0.00906041536085964,0.0280112302025933,0.00733405942055429,0.0417569239611424,0.000976820665055731,0.00737353541693558,0.0320200495271783,0.00420525587773009,0.0269056907668486,0.0152862184100394,0.00701515409172977,0.0105563742324168,0.046895376523985,0.0511882608789642,0.0190831021847441,0.00375310594682392,0.0109170486580974,0.00648534465065278,0.0288657327209735,0.00418297434104071,0.0161823928390003,0.00895475037048957,0.0129181350647363,0.0104693132041957,0.00662387082401111,0.0170842335543645,0.00514212663062732,0.0408412426228493,0.0190959447351533,0.0224306886533366,0.00789963223434813,0.0155209259413566,0.00202636532642094,0.00739700344049061,0.0124091740584073,0.00475864948619973,0.0411674629727873,0.0015451632383226,0.000190266175872413,0.000939533100953284,0.0209220140081403,0.000169941636083697,0.0101770368803685,0.00531955073116704,0.0120840427270929,0.00886677181779433,0.0229829488293407,0.0207006348895156,0.00264795336669964,0.0091856035454431,0.00743156310188144,0.018762419191471,0.00949354650992813,0.00373901154804759
1982,0.000749950350557193,0.00117607500740472,0.0118675516097755,0.0295405226404689,0.00713348237449242,0.0147222662523297,0.00966163828913213,0.00230867470597655,0.0165041167582227,0.0188215338719098,0.023457100969181,0.0329280527227697,0.0087909958824118,0.0033676170152295,0.00336682052052123,0.0101393526001494,0.0185865692239602,0.0258591639161486,0.0149989738900539,0.0372337034667504,0.00546216712995908,0.00889182772432395,0.026256573845293,0.00469231432320458,0.051551923883971,0.0212341330652192,0.0100370068320557,0.00896461013022726,0.0439388327394321,0.0660614411697981,0.00670495199902705,0.00812054175901106,0.00727043742323821,0.0108071123326895,0.0170481036694373,0.0219628280751935,0.00946226298091075,0.0192407792712783,0.0205699056133191,0.0128501787961216,0.0122525279007864,0.0140707931807113,0.00441020371134828,0.0307720730177108,0.0166175702351292,0.0282475425883788,0.00808398427652035,0.011545152999999,0.00235925363113525,0.0112388287904194,0.0121454540651407,0.00206159258272755,0.015385813499718,0.0037402345472444,0.000276509554562488,0.00023143321299466,0.0248230337505233,0.000272131720068437,0.00709714800827553,0.00435597907886135,0.00357608329865984,0.0127675349855497,0.0229844776955833,0.0271349634537735,0.00428748047462466,0.0063175070802118,0.00533516747737382,0.0231223197313414,0.00749696620639378,0.00464814441307739
1983,0.000693116900486843,0.000922111281198844,0.0372928800222876,0.0475163043421157,0.00652448974881322,0.0143409144040323,0.00879452048721446,0.00187487615698373,0.0131798415609961,0.0210089764818126,0.00980736991615939,0.0235690104954445,0.0100899972241506,0.0035597031802297,0.00211925036805049,0.006580304576637,0.0156057396675202,0.0174134255843179,0.00273935251023541,0.0377097059547672,0.0102673118671521,0.00793800879282082,0.0356492543682326,0.00866700203810082,0.0336757571818856,0.00544737594149051,0.0177025059416481,0.0077708173453169,0.0478261213076032,0.0583909412975267,0.0131047721990108,0.00246857317496796,0.0130158570093776,0.00471113521696522,0.0263430940847191,0.0131824168472105,0.0111909185666304,0.0167950787896185,0.0257768051351566,0.0168773688522696,0.0099630438474952,0.0174474634398668,0.00600394526183734,0.0294284311614585,0.0142840848164458,0.0145213291115527,0.0134101848671454,0.006025488624372,0.00176616043616323,0.015570240177992,0.00970442504897524,0.00701498629525822,0.0225641712315012,0.00724086001859983,0.000267093704577481,0.000178710009735565,0.0202096975021711,0.000193687511395033,0.00750273812633542,0.00223289688072766,0.0193584731076666,0.0148443399056375,0.0215204916130542,0.0335638444155194,0.00297049919075942,0.00453625815545206,0.00483167450112178,0.0186518713642722,0.0127271298060067,0.00332277304574688
1984,0.000717920135859863,0.000631680755003458,0.0331908750231452,0.0519368299149226,0.00542872887580489,0.0146491883981139,0.00540896138472167,0.00542197510407531,0.0164927205002097,0.00683277909869472,0.0266071228031603,0.04149637907247,0.00760539126443575,0.00293651950372933,0.00347560349812028,0.00560247526571403,0.0185462926187918,0.0282439689876038,0.00808543277596304,0.0217275134328502,0.00532034373859294,0.00865072543849148,0.0143193175276727,0.00545015467446271,0.0327108921199011,0.00940409231289525,0.0178410672316742,0.0116055640585579,0.0569405969558613,0.0613540836824853,0.0136499370022951,0.00362199603536613,0.0123752737432248,0.00639843182306184,0.0390925660479086,0.0173788547785629,0.01437010186742,0.0110233458618288,0.0193941265430572,0.0167534035926582,0.00541659116580447,0.0180882741256064,0.00278942004403866,0.0347935016615226,0.0210662331204755,0.0266508807556005,0.00721015654781616,0.00841362446192052,0.0052400289237668,0.0175612240677164,0.0166040995274567,0.00821901656576133,0.0164878041520054,0.00394555877924664,0.000431058922279596,0.000254729244545555,0.0197414802251668,0.000299983514402036,0.00640274838757063,0.00506194602472553,0.00809958003923019,0.0110547028960868,0.0144139874174414,0.0214343862782729,0.00233647672029502,0.0038639913758342,0.0076795874230221,0.0101268674504102,0.0103922591516515,0.00322656758095927
1985,0.000665502178675592,0.000690286170916991,0.0523687138112644,0.0431244188405326,0.00578061906020912,0.0175782244279416,0.00475298054647681,0.00242459704602567,0.0250432925581112,0.0142073526199064,0.0236200896309425,0.0141790412362385,0.00461336261813304,0.0166733688718625,0.0060836341728614,0.00250120614519112,0.0133446431553475,0.0229703255172101,0.0235571978765401,0.0253434714345546,0.0022066137102204,0.00622239111883033,0.0153138939891151,0.00800583897316503,0.0152277693367687,0.00860916092591126,0.0130298134898299,0.00619925451574519,0.0576426847020607,0.042535530542753,0.0216827941693361,0.00455119713471428,0.00653957819600247,0.00758350473189842,0.0614464938185977,0.00415777323856744,0.0088695870934297,0.0153868813890213,0.0241699708821383,0.0144860563483977,0.0132220776159945,0.0176850048903403,0.00449145135805348,0.03201959825853,0.021213554746709,0.0356260406180233,0.0113974553768163,0.0132592292852687,0.00316186410515386,0.0181651348907756,0.0169666074255102,0.00579368100880236,0.0165272551384614,0.00110683735436917,0.000301350703982228,0.000255395948856392,0.0119836404731603,0.000228704776593676,0.00591826511663625,0.00367618604221103,0.0171786472629819,0.0121239999478571,0.0113861479168316,0.0236192359574147,0.00441453600682743,0.00692871121227038,0.00514648046342768,0.0101665035430741,0.00911993195230046,0.00352735437732199
1986,0.000470745139649525,0.000554826573149496,0.0271828647968789,0.0451247887849537,0.00715815322757463,0.0223976657246401,0.0099255256026035,0.00683112911950241,0.0186476864152061,0.0073987343377144,0.0252995446528549,0.0209784888450182,0.00414171107697108,0.004670554988718,0.0061873565066895,0.00697203978978826,0.0155638295080253,0.0219201936149077,0.0033000233124716,0.0197929611614137,0.00115721491882494,0.00716392162674009,0.0156294330775071,0.00403024316719979,0.026898012788522,0.00516124087938829,0.0133405453757969,0.00633291519774653,0.0577946716488728,0.0481106681065292,0.0202285875211434,0.00482253249640814,0.0119233034023884,0.00664723693773894,0.0342957700134032,0.00469344902617558,0.0243624821296759,0.0239809111630518,0.0160805784907287,0.00878717329174222,0.00986591076686624,0.0145385763850208,0.0115294304223788,0.0330313016501135,0.0246574769035087,0.0302049177610935,0.00432598218392011,0.0161165983852161,0.00705341487706345,0.018574296610324,0.0163007171907516,0.0060364199759591,0.0217381480454059,0.00271371645522724,0.00029885982526963,0.000544778657220655,0.0234994975855997,0.000297552239509787,0.00489144992017475,0.00480529554000367,0.0121126517010041,0.0224665614222394,0.0167860532875434,0.0217132606354978,0.00677833980214375,0.011687266923839,0.00462771428545353,0.0235846563259257,0.00906871707406185,0.00419072272334954
1987,0.000896086325155434,0.000655222796180596,0.0256220375168551,0.0286661697812747,0.00494169159623316,0.0263903152130951,0.00936165699551591,0.00266654463779873,0.0205509080764226,0.0139989484827577,0.0211787758998752,0.0107874025847332,0.00562345303434152,0.0130100064010806,0.0131950593031875,0.00448051843443308,0.0224181028169397,0.00760076185095542,0.0201010244352854,0.0298561808756352,0.00348332082016135,0.0112867204381053,0.0140108165808028,0.00587604770128384,0.0406933994202774,0.0154005096812421,0.00780540752577173,0.00547808364654348,0.0747535541963389,0.0411199559653914,0.012770782527924,0.00358854728030276,0.0116169688470415,0.00417684942090522,0.0283180700730323,0.00421587928732211,0.0240585945044418,0.0281574581779192,0.0149033521862558,0.0133469371303625,0.00817947745405906,0.0157841530657202,0.00328269871208723,0.0167295565791539,0.0223910325036588,0.0186914457082996,0.00732173290463161,0.0134763013323726,0.00427943162458103,0.0207188606289354,0.00709758464593873,0.00404338043820681,0.0245730572726964,0.00136033172796106,0.00042046206443756,0.000284905956429796,0.00903573356249105,0.00041127518786459,0.00677044590557644,0.00387893344677463,0.0270144004568655,0.0167565135556673,0.0175029616292402,0.0247385373237239,0.0108297656751572,0.00709405665110889,0.0068871730817878,0.0443766582359981,0.00700586453508104,0.00200114566431206
1988,0.000753383297851634,0.000594806721100587,0.0113321867375307,0.0482047733989513,0.00624111219099972,0.0142842562186869,0.00918872815030781,0.00627102066566257,0.0168873867604694,0.0180295469575882,0.0160283193378831,0.0231581226335876,0.0100015662856637,0.00479252352049598,0.00572122866137254,0.0118403634459814,0.0193332534321251,0.0221962532899022,0.0104823094459482,0.00665699606718743,0.0138662499551863,0.00956038251104924,0.0154029624743906,0.017989502199126,0.0334676201779069,0.0159734808397255,0.00453151586990757,0.00667399915801965,0.052013167614817,0.0565004209415163,0.0170413631786313,0.00497048201284688,0.0163171718637685,0.00433210725175223,0.013475380472675,0.017164742220352,0.0215522515257202,0.0217802909095823,0.0243037684279345,0.0202058538374961,0.0100292393274035,0.0161375222343754,0.00506750070556224,0.0369959553177105,0.0192459864438013,0.017964767711984,0.00778919585020282,0.0137389096249899,0.00690472286933826,0.012088368306077,0.00838207652857534,0.00613221348139294,0.0340461278147011,0.00136281459324944,0.000594382502044369,0.000333449919188768,0.0233838602946694,0.000380201623642963,0.00595984269758278,0.00565678880291032,0.0140648144498252,0.0129622524308179,0.0139993147108034,0.030315022705987,0.00471454427076245,0.0108704347849753,0.00533165602050372,0.0144168419963586,0.00969273003392987,0.00231761128493385
1989,0.000625391592650167,0.000606060621085649,0.0171908905405652,0.026919325934356,0.00501662950230786,0.0182511202752973,0.0130572596919939,0.00387599854756538,0.0328996509497747,0.00960778079866331,0.0132174015795101,0.0379042697810541,0.0101875521392908,0.00816238398405196,0.00338056768910284,0.00665676030831339,0.0229397813526636,0.0136574553591745,0.0066681881188711,0.01555264607911,0.00402391315579678,0.00889639112101147,0.0125568560540271,0.0065181099589142,0.0199377625800355,0.0253206569053834,0.0185061056402888,0.00701785183841226,0.0561717787812592,0.0521252064602659,0.0119293602116434,0.00575127173266994,0.0188260764904527,0.00735634171959984,0.0296292492909427,0.0101614781777516,0.01076186603882,0.0223620400132587,0.0159247791872226,0.0123774394861524,0.0068464093555607,0.0194701844147419,0.00972411534739324,0.0354320439017993,0.0146471511662619,0.0212144073931877,0.00279051043098375,0.0131082120324576,0.00791873308464273,0.0186678516912656,0.00879670367130526,0.00627525018557473,0.0353458465950883,0.00139696456681509,0.000388175505245916,0.000312461770570174,0.0236205678184897,0.000255221783950667,0.0199791096794173,0.00509421945587061,0.0153456627679749,0.013860815370573,0.0190554098770221,0.0284398621265582,0.0126734023659017,0.0108533222739934,0.00340945121567244,0.0097341579845593,0.00935400907593306,0.00345811740188002
