,V1,V2,V3,V4,V5,V6,V7,topic_n,topic_wlist,intruder_word,intrusion_task,intruder_pos
2,ledbetter,breadwinner,discrimination,workplace,equal,gender,discriminatory,3,"['ledbetter', 'breadwinner', 'discrimination', 'workplace', 'equal']",trade,"['discrimination', 'breadwinner', 'equal', 'trade', 'workplace', 'ledbetter']",4
3,communism,faction,liberty,authoritarian,revolution,welfare,centrist,4,"['communism', 'faction', 'liberty', 'authoritarian', 'revolution']",ward,"['communism', 'ward', 'liberty', 'authoritarian', 'revolution', 'faction']",2
5,minimum,hourly,earner,wage,turnover,teen,overtime,6,"['minimum', 'hourly', 'earner', 'wage', 'turnover']",renter,"['earner', 'turnover', 'renter', 'minimum', 'wage', 'hourly']",3
6,policing,detain,police,patrol,peaceful,violent,brutality,7,"['policing', 'detain', 'police', 'patrol', 'peaceful']",greece,"['policing', 'peaceful', 'detain', 'greece', 'patrol', 'police']",4
7,physician,reimbursement,hospital,provider,patient,nursing,surgery,8,"['physician', 'reimbursement', 'hospital', 'provider', 'patient']",pregnant,"['hospital', 'patient', 'reimbursement', 'provider', 'physician', 'pregnant']",6
8,employees,overtime,employee,morale,compensation,retention,salary,9,"['employees', 'overtime', 'employee', 'morale', 'compensation']",differential,"['differential', 'overtime', 'morale', 'employee', 'compensation', 'employees']",1
9,brooklyn,city,mayor,borough,yorker,hall,york,10,"['brooklyn', 'city', 'mayor', 'borough', 'yorker']",hispanics,"['city', 'mayor', 'yorker', 'hispanics', 'brooklyn', 'borough']",4
11,deduction,taxation,bracket,tax,dividend,exemption,estate,12,"['deduction', 'taxation', 'bracket', 'tax', 'dividend']",teacher,"['teacher', 'bracket', 'taxation', 'tax', 'dividend', 'deduction']",1
12,schools,superintendent,charter,school,district,elementary,chancellor,13,"['schools', 'superintendent', 'charter', 'school', 'district']",tariff,"['schools', 'charter', 'district', 'tariff', 'superintendent', 'school']",4
13,voucher,assistance,funding,locality,nonprofit,application,section,14,"['voucher', 'assistance', 'funding', 'locality', 'nonprofit']",teacher,"['teacher', 'voucher', 'funding', 'locality', 'nonprofit', 'assistance']",1
14,south,korean,north,korea,underground,kim,asian,15,"['south', 'korean', 'north', 'korea', 'underground']",teacher,"['north', 'korean', 'underground', 'teacher', 'south', 'korea']",4
15,deductible,drug,medication,medicare,prescription,premium,coverage,16,"['deductible', 'drug', 'medication', 'medicare', 'prescription']",bargaining,"['medication', 'deductible', 'drug', 'bargaining', 'prescription', 'medicare']",4
16,bachelor,graduation,undergraduate,graduate,college,tuition,scholarship,17,"['bachelor', 'graduation', 'undergraduate', 'graduate', 'college']",discrimination,"['undergraduate', 'bachelor', 'graduation', 'college', 'discrimination', 'graduate']",5
17,prayer,christian,religious,catholic,church,spiritual,god,18,"['prayer', 'christian', 'religious', 'catholic', 'church']",korean,"['korean', 'christian', 'religious', 'catholic', 'prayer', 'church']",1
18,soccer,baseball,athlete,sport,cup,coach,franchise,19,"['soccer', 'baseball', 'athlete', 'sport', 'cup']",caribbean,"['athlete', 'soccer', 'baseball', 'caribbean', 'cup', 'sport']",4
19,workers,organizing,bargaining,unionize,unionization,relations,union,20,"['workers', 'organizing', 'bargaining', 'unionize', 'unionization']",hispanic,"['unionize', 'bargaining', 'workers', 'organizing', 'unionization', 'hispanic']",6
21,discretionary,baby,reduce,penny,scenario,net,imbalance,22,"['discretionary', 'baby', 'reduce', 'penny', 'scenario']",readiness,"['readiness', 'penny', 'scenario', 'reduce', 'discretionary', 'baby']",1
23,luther,king,commemorate,hatred,beloved,lewis,martin,24,"['luther', 'king', 'commemorate', 'hatred', 'beloved']",israel,"['commemorate', 'israel', 'luther', 'hatred', 'king', 'beloved']",2
24,advisers,inflation,summers,productivity,unemployment,recession,fed,25,"['advisers', 'inflation', 'summers', 'productivity', 'unemployment']",communism,"['summers', 'productivity', 'inflation', 'communism', 'unemployment', 'advisers']",4
25,china,taiwan,chinese,detain,pollution,authoritarian,coastal,26,"['china', 'taiwan', 'chinese', 'detain', 'pollution']",athlete,"['china', 'detain', 'taiwan', 'pollution', 'chinese', 'athlete']",6
26,arts,artistic,musical,music,performer,artist,art,27,"['arts', 'artistic', 'musical', 'music', 'performer']",kindergarten,"['performer', 'music', 'arts', 'artistic', 'musical', 'kindergarten']",6
27,kindergarten,literacy,childhood,parental,learning,preschool,graduation,28,"['kindergarten', 'literacy', 'childhood', 'parental', 'learning']",lender,"['parental', 'childhood', 'lender', 'learning', 'kindergarten', 'literacy']",3
28,median,hispanic,hispanics,census,household,bracket,priorities,29,"['median', 'hispanic', 'hispanics', 'census', 'household']",innovation,"['household', 'census', 'median', 'innovation', 'hispanic', 'hispanics']",4
29,readiness,pentagon,personnel,services,civilian,aircraft,corps,30,"['readiness', 'pentagon', 'personnel', 'services', 'civilian']",provider,"['services', 'pentagon', 'provider', 'civilian', 'personnel', 'readiness']",3
30,apartheid,africa,crow,racism,racist,african,racially,31,"['apartheid', 'africa', 'crow', 'racism', 'racist']",entrepreneurship,"['entrepreneurship', 'apartheid', 'africa', 'racist', 'crow', 'racism']",1
33,library,volunteer,nonprofit,outreach,alliance,organization,empowerment,34,"['library', 'volunteer', 'nonprofit', 'outreach', 'alliance']",prescription,"['prescription', 'outreach', 'alliance', 'library', 'volunteer', 'nonprofit']",1
34,occupational,occupation,comparable,profession,differential,hiring,applicant,35,"['occupational', 'occupation', 'comparable', 'profession', 'differential']",college,"['comparable', 'occupational', 'college', 'occupation', 'profession', 'differential']",3
36,redistribution,earner,wealth,ladder,warfare,gilded,stagnate,37,"['redistribution', 'earner', 'wealth', 'ladder', 'warfare']",unionization,"['unionization', 'ladder', 'warfare', 'wealth', 'earner', 'redistribution']",1
37,shareholder,stock,securities,compensation,corporate,sachs,disclose,38,"['shareholder', 'stock', 'securities', 'compensation', 'corporate']",racist,"['stock', 'shareholder', 'corporate', 'securities', 'compensation', 'racist']",6
40,borrower,lender,loan,foreclosure,lending,borrowing,repay,41,"['borrower', 'lender', 'loan', 'foreclosure', 'lending']",cup,"['cup', 'lender', 'loan', 'lending', 'borrower', 'foreclosure']",1
41,hunger,nutrition,jobless,medicaid,unemployed,hungry,stamp,42,"['hunger', 'nutrition', 'jobless', 'medicaid', 'unemployed']",childhood,"['childhood', 'jobless', 'medicaid', 'unemployed', 'nutrition', 'hunger']",1
42,breast,pregnant,pregnancy,mom,rape,girl,mental,43,"['breast', 'pregnant', 'pregnancy', 'mom', 'rape']",vaccine,"['pregnancy', 'rape', 'vaccine', 'mom', 'breast', 'pregnant']",3
43,missile,soviet,diplomatic,treaty,communism,vietnam,peace,44,"['missile', 'soviet', 'diplomatic', 'treaty', 'communism']",hunger,"['communism', 'diplomatic', 'treaty', 'soviet', 'hunger', 'missile']",5
44,entrepreneurship,entrepreneur,entrepreneurial,innovation,venture,competitiveness,business,45,"['entrepreneurship', 'entrepreneur', 'entrepreneurial', 'innovation', 'venture']",revolution,"['entrepreneurship', 'venture', 'entrepreneur', 'revolution', 'entrepreneurial', 'innovation']",4
46,teacher,teaching,teachers,educator,classroom,profession,scholarship,47,"['teacher', 'teaching', 'teachers', 'educator', 'classroom']",story,"['classroom', 'teacher', 'story', 'teaching', 'educator', 'teachers']",3
48,uninsured,obamacare,affordable,health,care,provider,illness,49,"['uninsured', 'obamacare', 'affordable', 'health', 'care']",ledbetter,"['obamacare', 'care', 'affordable', 'uninsured', 'ledbetter', 'health']",5
50,amendment,ratify,constitution,constitutional,equality,sex,resolution,51,"['amendment', 'ratify', 'constitution', 'constitutional', 'equality']",merger,"['equality', 'merger', 'constitution', 'constitutional', 'amendment', 'ratify']",2
51,affirmative,discrimination,discriminatory,rights,orientation,segregation,equality,52,"['affirmative', 'discrimination', 'discriminatory', 'rights', 'orientation']",pentagon,"['affirmative', 'discrimination', 'orientation', 'discriminatory', 'pentagon', 'rights']",5
52,israel,assassination,jews,detain,israeli,commander,armed,53,"['israel', 'assassination', 'jews', 'detain', 'israeli']",city,"['jews', 'israeli', 'city', 'israel', 'assassination', 'detain']",3
53,merger,antitrust,monopoly,regulator,customer,acquisition,privacy,54,"['merger', 'antitrust', 'monopoly', 'regulator', 'customer']",entrepreneurial,"['customer', 'monopoly', 'merger', 'entrepreneurial', 'regulator', 'antitrust']",4
55,pandemic,covid,vaccine,infection,coronavirus,lockdown,testing,56,"['pandemic', 'covid', 'vaccine', 'infection', 'coronavirus']",athlete,"['athlete', 'covid', 'coronavirus', 'vaccine', 'infection', 'pandemic']",1
