Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,TopPt1,1762978,1805865,140502,196593,296865,15008,24407,591197,541293,42888,14159,21058,7671
1989:Q3,RemainingTop1,2905034,2986902,484736,162660,580301,146661,86882,717034,808628,81869,61317,4868,15684
1989:Q3,Next9,7766893,8239317,2010174,417469,807822,1570385,448683,1020405,1964378,472424,365639,58952,47833
1989:Q3,Next40,7288588,8847464,3428532,754824,354717,1621780,399813,600605,1687193,1558876,1153165,355023,50688
1989:Q3,Bottom50,712292,1709009,829225,364633,23490,128496,54236,40382,268547,996717,616874,344306,35537
1989:Q4,TopPt1,1816794,1857603,154414,198736,310106,17658,23521,596842,556326,40808,13470,19519,7819
1989:Q4,RemainingTop1,2967923,3055938,506139,162353,592427,156931,90879,725324,821886,88015,65098,5933,16984
1989:Q4,Next9,7898966,8390018,2059819,415421,827009,1589607,468211,1031933,1998018,491052,379054,63420,48578
1989:Q4,Next40,7427162,9009003,3447463,773078,370241,1673273,417757,601924,1725267,1581841,1170100,361416,50325
1989:Q4,Bottom50,702859,1728686,826482,375996,25011,129597,55868,40805,274927,1025827,632858,358998,33971
1990:Q1,TopPt1,1800378,1838669,163726,186847,279016,20322,22095,600178,566485,38291,13077,17149,8065
1990:Q1,RemainingTop1,2952781,3045682,508095,164567,556777,166404,91958,731954,825927,92901,68100,6278,18523
1990:Q1,Next9,7881895,8395541,2040486,428901,780628,1601280,475804,1040749,2027693,513646,401278,61397,50971
1990:Q1,Next40,7508252,9104204,3446611,797526,365140,1719458,421765,602271,1751433,1595952,1197140,347623,51189
1990:Q1,Bottom50,724992,1774589,854066,389143,24462,130479,55718,41242,279479,1049597,655804,359873,33920
1990:Q2,TopPt1,1843978,1880243,175131,188842,295024,22922,20570,607662,570092,36265,12692,15450,8123
1990:Q2,RemainingTop1,3007814,3104962,526657,163921,570736,176280,94107,740226,833035,97148,70591,6983,19574
1990:Q2,Next9,7978381,8514954,2080411,425555,802763,1615853,495760,1052624,2041988,536573,421651,63081,51841
1990:Q2,Next40,7621075,9236441,3466189,814373,382206,1768104,432132,603383,1770054,1615366,1218972,345579,50815
1990:Q2,Bottom50,701871,1774130,836774,399696,26138,131450,56094,41654,282324,1072259,672011,367619,32629
1990:Q3,TopPt1,1785597,1819551,187434,172145,210773,25540,19113,616813,587733,33953,12156,13867,7930
1990:Q3,RemainingTop1,2947599,3049273,530825,166261,473397,185589,93279,748883,851039,101674,73958,7851,19865
1990:Q3,Next9,7884114,8437081,2068727,438506,671776,1624882,489759,1065362,2078068,552967,436992,65811,50164
1990:Q3,Next40,7686978,9318901,3494360,831536,348932,1812969,426039,604586,1800480,1631923,1236826,346476,48621
1990:Q3,Bottom50,733252,1828088,881380,407706,22823,132260,54879,42055,286985,1094836,687334,378297,29205
1990:Q4,TopPt1,1871919,1903726,197174,161528,261119,28121,18334,620797,616653,31807,11410,12195,8202
1990:Q4,RemainingTop1,3032506,3141433,531961,167463,524948,195188,97645,754301,869927,108927,78628,8740,21559
1990:Q4,Next9,8017619,8584499,2049992,445689,746186,1635867,511001,1072632,2123133,566880,446193,68171,52516
1990:Q4,Next40,7797211,9443031,3457260,848111,384335,1859595,445906,604005,1843819,1645820,1250520,345959,49341
1990:Q4,Bottom50,756757,1878127,910009,416252,26274,133131,56747,42491,293223,1121370,703060,389326,28984
1991:Q1,TopPt1,1957047,1986249,207370,160985,336083,30695,17960,615046,618111,29203,10715,10005,8483
1991:Q1,RemainingTop1,3134125,3249175,541392,166990,601544,204808,103486,753959,876995,115049,82992,8989,23068
1991:Q1,Next9,8167842,8743123,2060353,445111,855093,1646485,534076,1070019,2131985,575280,455847,65228,54205
